"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="1240","茂生農經","櫃","01/14","","60","-0.1","-0.17","24","1.44","60.1","60.1","60.1","59.7","0.67","11.9","1.83","","","","",""
="1259","安心","櫃","01/14","","61.5","-0.5","-0.81","1","0.06","62","61.5","61.5","61.5","0","71.5","0.63","","","","",""
="1264","德麥","櫃","01/14","","280.5","+0.5","+0.18","11","3.09","280","280.5","281","280","0.36","13.5","3.02","","","","",""
="1268","漢來美食","櫃","01/14","","163","+1.5","+0.93","76","12.4","161.5","160.5","163.5","160.5","1.86","16.3","3.11","","","","",""
="1294","漢田生技","櫃","01/14","","74.3","0","0","36","2.65","74.3","74.1","74.6","73","2.15","16.9","2.84","","","","",""
="1295","生合","櫃","01/14","","86.2","+0.4","+0.47","38","3.29","85.8","85.9","87.8","85.8","2.33","18.2","2.34","","","","",""
="1336","台翰","櫃","01/14","","15.95","+0.3","+1.92","165","2.62","15.65","15.9","16","15.75","1.6","13.6","0.7","","","","",""
="1565","精華","櫃","01/14","","118.5","+2","+1.72","193","22.9","116.5","117","119.5","116.5","2.58","10.6","0.93","","","","",""
="1569","濱川","櫃","01/14","","50.6","+0.7","+1.4","729","36.8","49.9","50.1","50.8","50","1.6","","2.5","","","","",""
="1570","力肯","櫃","01/14","","30.35","+0.05","+0.17","83","2.52","30.3","30.3","30.5","30.25","0.83","26.2","1.56","","","","",""
="1580","新麥","櫃","01/14","","133.5","+0.5","+0.38","26","3.46","133","133","133.5","133","0.38","10.3","2.25","","","","",""
="1584","精剛","櫃","01/14","","23.4","0","0","553","12.9","23.4","23.4","23.5","23.1","1.71","213","1.13","","","","",""
="1586","和勤","櫃","01/14","","27.4","+0.3","+1.11","630","17.2","27.1","27.45","27.6","27.05","2.03","","1.51","","","","",""
