"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="1101","台泥","市","01/14","","24.95","0","0","64,398","1,624","24.95","25.25","25.8","24.8","4.01","","0.86","","","","",""
="1102","亞泥","市","01/14","","36.85","-0.75","-1.99","7,952","295","37.6","37.6","37.7","36.85","2.26","10.4","0.75","","","","",""
="1103","嘉泥","市","01/14","","14.05","+0.1","+0.72","372","5.23","13.95","14.05","14.1","14","0.72","32.7","0.51","","","","",""
="1104","環泥","市","01/14","","30.55","-0.05","-0.16","475","14.6","30.6","30.9","30.95","30.55","1.31","13","0.9","","","","",""
="1108","幸福","市","01/14","","15.05","+0.05","+0.33","261","3.95","15","15.1","15.2","15.05","1","6.4","1.07","","","","",""
="1109","信大","市","01/14","","15.45","0","0","156","2.41","15.45","15.5","15.5","15.4","0.65","14.2","0.65","","","","",""
="1110","東泥","市","01/14","","16.3","-0.25","-1.51","482","7.91","16.55","16.45","16.5","16.3","1.21","40.8","0.98","","","","",""
="1201","味全","市","01/14","","14.45","+0.1","+0.7","421","6.1","14.35","14.4","14.55","14.4","1.05","25.8","0.98","","","","",""
="1203","味王","市","01/14","","39.6","-0.05","-0.13","7","0.26","39.65","39.85","39.85","39.6","0.63","19.1","1.54","","","","",""
="1210","大成","市","01/14","","51.8","+0.1","+0.19","1,204","62.5","51.7","52","52.1","51.8","0.58","13.2","1.75","","","","",""
="1213","大飲","市","01/14","","9.9","-0.1","-1","3","0.03","10","9.9","9.9","9.9","0","1.12","0.84","","","","",""
="1215","卜蜂","市","01/14","","148.5","-3","-1.98","1,670","248","151.5","150","152.5","146","4.29","14.5","3.77","","","","",""
="1216","統一","市","01/14","","75.5","-0.6","-0.79","6,693","507","76.1","76.1","76.4","75.5","1.18","21.7","3.36","","","","",""
="1217","愛之味","市","01/14","","10.55","+0.1","+0.96","835","8.8","10.45","10.5","10.6","10.5","0.96","39.1","0.69","","","","",""
="1218","泰山","市","01/14","","18.35","+0.05","+0.27","581","10.7","18.3","18.4","18.45","18.2","1.37","14","0.7","","","","",""
="1219","福壽","市","01/14","","13.6","+0.05","+0.37","263","3.59","13.55","13.6","13.65","13.55","0.74","32.4","1.03","","","","",""
="1220","台榮","市","01/14","","12.55","+0.05","+0.4","138","1.72","12.5","12.5","12.55","12.45","0.8","50.2","0.94","","","","",""
="1225","福懋油","市","01/14","","28.35","+0.15","+0.53","125","3.52","28.2","28.3","28.5","28.15","1.24","20.2","1.82","","","","",""
="1227","佳格","市","01/14","","29.65","+0.15","+0.51","682","20.2","29.5","29.6","29.7","29.5","0.68","20.3","1.51","","","","",""
="1229","聯華","市","01/14","","47.25","+0.75","+1.61","1,649","77.4","46.5","46.6","47.25","46.55","1.51","18.5","1.48","","","","",""
="1231","聯華食","市","01/14","","94.9","+0.6","+0.64","303","28.8","94.3","94.6","95.4","94.3","1.17","26.3","4.19","","","","",""
="1232","大統益","市","01/14","","146.5","+0.5","+0.34","67","9.8","146","146","146.5","145.5","0.68","18.2","4.26","","","","",""
="1233","天仁","市","01/14","","32.3","+0.1","+0.31","17","0.54","32.2","32.2","32.3","32.2","0.31","40.4","2.19","","","","",""
="1234","黑松","市","01/14","","37.35","+0.15","+0.4","103","3.84","37.2","37.5","37.5","37.2","0.81","19.1","0.8","","","","",""
="1235","興泰","市","01/14","","45.3","+0.3","+0.67","2","0.09","45","45.35","45.35","45.3","0.11","","0.61","","","","",""
="1236","宏亞","市","01/14","","24.85","-0.15","-0.6","68","1.7","25","24.95","25.1","24.7","1.6","","0.86","","","","",""
="1256","鮮活果汁-KY","市","01/14","","167.5","+4","+2.45","118","19.7","163.5","164","171","163.5","4.59","17.3","1.65","","","","",""
="1301","台塑","市","01/14","","41.05","+0.85","+2.11","24,552","1,000","40.2","40.2","41.15","40.05","2.74","","0.9","","","","",""
="1303","南亞","市","01/14","","63.4","+1.2","+1.93","55,390","3,492","62.2","62.7","64.2","61.3","4.66","","1.53","","","","",""
="1304","台聚","市","01/14","","11.55","+0.05","+0.43","5,748","66.4","11.5","11.65","11.65","11.4","2.17","","0.68","","","","",""
="1305","華夏","市","01/14","","11.6","+0.15","+1.31","2,882","33.5","11.45","11.55","11.75","11.45","2.62","","0.86","","","","",""
="1307","三芳","市","01/14","","32.15","+1","+3.21","1,395","44.4","31.15","31.2","32.2","31.2","3.21","10.8","1.35","","","","",""
="1308","亞聚","市","01/14","","13.75","+0.25","+1.85","2,447","33.6","13.5","13.55","13.9","13.45","3.33","","0.78","","","","",""
="1309","台達化","市","01/14","","11.85","+0.05","+0.42","1,394","16.5","11.8","11.8","11.95","11.7","2.12","","0.83","","","","",""
="1310","台苯","市","01/14","","8.93","+0.14","+1.59","2,295","20.5","8.79","8.85","8.99","8.85","1.59","","0.7","","","","",""
="1312","國喬","市","01/14","","12.85","-0.2","-1.53","9,432","122","13.05","13.15","13.25","12.7","4.21","","0.5","","","","",""
"1312A","國喬特","市","01/14","","23.9","+0.75","+3.24","48","1.15","23.15","23.95","23.95","23.9","0.22","","","","","","",""
="1313","聯成","市","01/14","","10.5","+0.05","+0.48","2,488","26.1","10.45","10.4","10.55","10.35","1.91","","0.47","","","","",""
="1314","中石化","市","01/14","","8.14","+0.07","+0.87","19,091","155","8.07","8.08","8.19","8.07","1.49","","0.41","","","","",""
="1315","達新","市","01/14","","63.8","-0.1","-0.16","17","1.09","63.9","63.8","63.9","63.8","0.16","38.9","0.65","","","","",""
="1316","上曜","市","01/14","","14.9","+0.35","+2.41","3,166","46.9","14.55","14.6","14.9","14.6","2.06","","1.22","","","","",""
="1319","東陽","市","01/14","","98.6","+2.9","+3.03","3,872","381","95.7","96.6","99.5","96.3","3.34","15.1","2.18","","","","",""
="1321","大洋","市","01/14","","34.6","0","0","143","4.94","34.6","34.6","34.95","34.45","1.45","","1.31","","","","",""
="1323","永裕","市","01/14","","18.95","-0.05","-0.26","62","1.18","19","19","19","18.85","0.79","172","0.7","","","","",""
="1324","地球","市","01/14","","11.2","+0.15","+1.36","115","1.29","11.05","11.05","11.3","11.05","2.26","","0.94","","","","",""
="1325","恆大","市","01/14","","29.9","0","0","447","13.4","29.9","30.05","30.05","29.75","1","","0.99","","","","",""
="1326","台化","市","01/14","","31.9","+0.9","+2.9","25,893","821","31","30.95","32.2","30.95","4.03","","0.67","","","","",""
="1337","再生-KY","市","01/14","","4.86","+0.03","+0.62","219","1.06","4.83","4.87","4.88","4.85","0.62","","0.36","","","","",""
="1338","廣華-KY","市","01/14","","20.1","+0.05","+0.25","92","1.84","20.05","20.1","20.1","20","0.5","","0.29","","","","",""
="1339","昭輝","市","01/14","","41.6","+0.5","+1.22","57","2.38","41.1","41.3","41.95","41.15","1.95","20.2","0.79","","","","",""
="1340","勝悅-KY","市","01/14","","6.72","+0.12","+1.82","233","1.57","6.6","6.6","6.8","6.6","3.03","","0.38","","","","",""
="1341","富林-KY","市","01/14","","58.7","0","0","2","0.12","58.7","58.8","58.8","58.7","0.17","14.7","2.63","","","","",""
="1342","八貫","市","01/14","","95.2","+0.1","+0.11","248","23.6","95.1","95.1","95.9","94.8","1.16","17.5","3.18","","","","",""
="1402","遠東新","市","01/14","","28.3","+0.25","+0.89","6,418","181","28.05","28.2","28.4","28.05","1.25","16.8","0.68","","","","",""
="1409","新纖","市","01/14","","15.35","+0.35","+2.33","7,882","120","15","15.05","15.45","15.05","2.67","12.8","0.62","","","","",""
="1410","南染","市","01/14","","33.95","+0.05","+0.15","33","1.12","33.9","33.9","34.45","33.9","1.62","60.6","2.01","","","","",""
="1413","宏洲","市","01/14","","9.9","+0.01","+0.1","18","0.18","9.89","9.97","9.99","9.89","1.01","22","1.16","","","","",""
="1414","東和","市","01/14","","18.65","-0.85","-4.36","892","16.9","19.5","19.4","19.4","18.65","3.85","155","1.32","","","","",""
="1416","廣豐","市","01/14","","11.85","+0.05","+0.42","453","5.33","11.8","11.8","11.9","11.6","2.54","15","0.52","","","","",""
="1417","嘉裕","市","01/14","","8.86","+0.05","+0.57","140","1.24","8.81","8.82","8.89","8.76","1.48","","0.72","","","","",""
="1418","東華","市","01/14","","19.95","-0.05","-0.25","19","0.39","20","19.95","20","19.85","0.75","","0.92","","","","",""
="1419","新紡","市","01/14","","73.1","+0.1","+0.14","226","16.5","73","73.1","73.6","71.9","2.33","16.4","1.26","","","","",""
="1423","利華","市","01/14","","38.4","+0.15","+0.39","15","0.58","38.25","38.25","38.4","38.05","0.92","8.99","0.97","","","","",""
="1432","大魯閣","市","01/14","","18","+0.1","+0.56","187","3.36","17.9","17.9","18","17.9","0.56","","2","","","","",""
="1434","福懋","市","01/14","","16.2","+0.15","+0.93","3,816","62","16.05","16.15","16.35","16.1","1.56","46.3","0.72","","","","",""
="1435","中福","市","01/14","","21.9","+0.65","+3.06","5","0.11","21.25","21.75","22.1","21.75","1.65","","2.72","","","","",""
="1436","華友聯","市","01/14","","62.4","+1.4","+2.3","194","12.1","61","61","62.8","61","2.95","8.42","1.84","","","","",""
="1437","勤益控","市","01/14","","32.85","+0.05","+0.15","39","1.27","32.8","33.05","33.05","32.75","0.91","15.6","0.81","","","","",""
